osmid,y,x,street_count,highway,geometry
40453405,45.4758809,-122.5880733,3,,POINT (-122.5880733 45.4758809)
40455709,45.4678379,-122.5846725,1,turning_circle,POINT (-122.5846725 45.4678379)
40455716,45.4668696,-122.5846284,4,,POINT (-122.5846284 45.4668696)
40455737,45.4661937,-122.5847725,3,,POINT (-122.5847725 45.4661937)
40455744,45.4657957,-122.5847811,1,,POINT (-122.5847811 45.4657957)
40455754,45.4632835,-122.5848448,3,,POINT (-122.5848448 45.4632835)
40458163,45.4744254,-122.6145771,3,,POINT (-122.6145771 45.4744254)
40459100,45.4735683,-122.6048212,3,,POINT (-122.6048212 45.4735683)
40459104,45.4726667,-122.6048082,3,,POINT (-122.6048082 45.4726667)
40459108,45.4712649,-122.6048623,4,,POINT (-122.6048623 45.4712649)
40459117,45.4700224,-122.6048155,4,,POINT (-122.6048155 45.4700224)
40459120,45.469333,-122.604788,4,,POINT (-122.604788 45.469333)
40459122,45.4686331,-122.604794,4,,POINT (-122.604794 45.4686331)
40459124,45.4679383,-122.6048037,4,,POINT (-122.6048037 45.4679383)
40459128,45.4672551,-122.6048031,4,,POINT (-122.6048031 45.4672551)
40459131,45.4658511,-122.6048096,4,,POINT (-122.6048096 45.4658511)
40459134,45.4644895,-122.6048074,3,,POINT (-122.6048074 45.4644895)
40459186,45.4626814,-122.6047746,3,,POINT (-122.6047746 45.4626814)
40469928,45.4673902,-122.5981936,1,,POINT (-122.5981936 45.4673902)
40469929,45.46738,-122.5978383,4,,POINT (-122.5978383 45.46738)
40469933,45.4673829,-122.5968502,4,,POINT (-122.5968502 45.4673829)
40469936,45.4673796,-122.5958778,4,,POINT (-122.5958778 45.4673796)
40469940,45.46739,-122.5949035,4,,POINT (-122.5949035 45.46739)
40469959,45.466838,-122.586725,3,,POINT (-122.586725 45.466838)
40469972,45.4672504,-122.6093684,3,,POINT (-122.6093684 45.4672504)
40469976,45.4672545,-122.6073697,4,,POINT (-122.6073697 45.4672545)
40469980,45.4672485,-122.6021766,4,,POINT (-122.6021766 45.4672485)
40469984,45.4672475,-122.5995978,3,,POINT (-122.5995978 45.4672475)
40469994,45.466878,-122.581573,3,,POINT (-122.581573 45.466878)
